keyword_id,search_string,language,region,max_results,search_type,order,frequency,batch
KW0089,queer literature,en,US,50,video,relevance,daily,batch_3
KW0090,LGBTQ books,en,US,50,video,relevance,daily,batch_3
KW0091,lesbian books,en,US,50,video,relevance,daily,batch_3
KW0092,gay books,en,US,50,video,relevance,daily,batch_3
KW0093,trans books,en,US,50,video,relevance,daily,batch_3
KW0094,disability books,en,US,50,video,relevance,daily,batch_3
KW0095,disabled authors,en,US,50,video,relevance,daily,batch_3
KW0096,neurodivergent books,en,US,50,video,relevance,daily,batch_3
KW0097,autism books,en,US,50,video,relevance,daily,batch_3
KW0098,feminist fiction,en,US,50,video,relevance,daily,batch_3
KW0099,feminist literature,en,US,50,video,relevance,daily,batch_3
KW0100,women authors,en,US,50,video,relevance,daily,batch_3
KW0101,decolonized reading list,en,US,50,video,relevance,daily,batch_1
KW0102,decolonial books,en,US,50,video,relevance,daily,batch_3
KW0103,decolonizing literature,en,US,50,video,relevance,daily,batch_3
KW0104,anti colonial books,en,US,50,video,relevance,daily,batch_3
KW0105,critical theory books,en,US,50,video,relevance,daily,batch_3
KW0106,postcolonial literature,en,US,50,video,relevance,daily,batch_3
KW0107,feminist theory books,en,US,50,video,relevance,daily,batch_3
KW0108,intersectional feminism books,en,US,50,video,relevance,daily,batch_3
KW0109,comfort reads,en,US,50,video,relevance,daily,batch_1
KW0110,cozy books,en,US,50,video,relevance,daily,batch_1
KW0111,books that feel like a hug,en,US,50,video,relevance,daily,batch_1
KW0112,books for anxiety,en,US,50,video,relevance,daily,batch_3
KW0113,books for burnout,en,US,50,video,relevance,daily,batch_3
KW0114,healing fiction,en,US,50,video,relevance,daily,batch_3
KW0115,sad books,en,US,50,video,relevance,daily,batch_3
KW0116,devastating books,en,US,50,video,relevance,daily,batch_3
KW0117,heartbreaking books,en,US,50,video,relevance,daily,batch_3
KW0118,uplifting books,en,US,50,video,relevance,daily,batch_3
KW0119,hopeful books,en,US,50,video,relevance,daily,batch_3
KW0120,escapist books,en,US,50,video,relevance,daily,batch_3
KW0121,cottagecore books,en,US,50,video,relevance,daily,batch_3
KW0122,cottagecore reading,en,US,50,video,relevance,daily,batch_3
KW0123,dark academia books,en,US,50,video,relevance,daily,batch_3
KW0124,light academia books,en,US,50,video,relevance,daily,batch_3
KW0125,gothic books,en,US,50,video,relevance,daily,batch_3
KW0126,nature writing,en,US,50,video,relevance,daily,batch_3
KW0127,forest books,en,US,50,video,relevance,daily,batch_3
KW0128,solarpunk books,en,US,50,video,relevance,daily,batch_3
KW0129,hopepunk books,en,US,50,video,relevance,daily,batch_3
KW0130,enemies to lovers books,en,US,50,video,relevance,daily,batch_1
KW0131,found family books,en,US,50,video,relevance,daily,batch_1
KW0132,chosen one trope books,en,US,50,video,relevance,daily,batch_2
KW0133,morally grey character books,en,US,50,video,relevance,daily,batch_2
KW0134,slow burn romance books,en,US,50,video,relevance,daily,batch_1
KW0135,second chance romance books,en,US,50,video,relevance,daily,batch_2
KW0136,fake dating books,en,US,50,video,relevance,daily,batch_2
KW0137,grumpy sunshine romance,en,US,50,video,relevance,daily,batch_2
KW0138,touch her and die romance,en,US,50,video,relevance,daily,batch_2
KW0139,one bed trope books,en,US,50,video,relevance,daily,batch_2
KW0140,academy setting books,en,US,50,video,relevance,daily,batch_2
KW0141,booktok,en,US,50,video,relevance,daily,batch_1
KW0142,fantasy booktok,en,US,50,video,relevance,daily,batch_2
KW0143,romantasy booktok,en,US,50,video,relevance,daily,batch_2
KW0144,sci fi booktok,en,US,50,video,relevance,daily,batch_2
KW0145,booktube,en,US,50,video,relevance,daily,batch_1
KW0146,fantasy booktube,en,US,50,video,relevance,daily,batch_2
KW0147,reading vlog,en,US,50,video,relevance,daily,batch_1
KW0148,reading wrap up,en,US,50,video,relevance,daily,batch_1
KW0149,monthly reading wrap up,en,US,50,video,relevance,daily,batch_2
KW0150,reading journal,en,US,50,video,relevance,daily,batch_2
KW0151,reading tracker,en,US,50,video,relevance,daily,batch_2
KW0152,reading challenge,en,US,50,video,relevance,daily,batch_2
KW0153,52 books challenge,en,US,50,video,relevance,daily,batch_2
KW0154,book haul,en,US,50,video,relevance,daily,batch_2
KW0155,bookstore vlog,en,US,50,video,relevance,daily,batch_2
KW0156,used book haul,en,US,50,video,relevance,daily,batch_2
KW0157,bookshelf tour,en,US,50,video,relevance,daily,batch_2
KW0158,home library,en,US,50,video,relevance,daily,batch_2
KW0159,Hugo Awards,en,US,25,video,relevance,weekly,batch_4
KW0160,Nebula Awards,en,US,25,video,relevance,weekly,batch_4
KW0161,World Fantasy Award,en,US,25,video,relevance,weekly,batch_4
KW0162,Arthur C Clarke Award,en,US,25,video,relevance,weekly,batch_4
