keyword_id,search_string,language,region,max_results,search_type,order,frequency,batch
KW0095,disability books,en,US,50,video,date,daily,batch_3
KW0096,disabled authors,en,US,50,video,date,daily,batch_3
KW0097,neurodivergent books,en,US,50,video,date,daily,batch_3
KW0098,autism books,en,US,50,video,date,daily,batch_3
KW0099,feminist fiction,en,US,50,video,date,daily,batch_3
KW0100,feminist literature,en,US,50,video,date,daily,batch_3
KW0101,women authors,en,US,50,video,date,daily,batch_3
KW0102,decolonized reading list,en,US,50,video,date,daily,batch_1
KW0103,decolonial books,en,US,50,video,date,daily,batch_3
KW0104,decolonizing literature,en,US,50,video,date,daily,batch_3
KW0105,anti colonial books,en,US,50,video,date,daily,batch_3
KW0106,critical theory books,en,US,50,video,date,daily,batch_3
KW0107,postcolonial literature,en,US,50,video,date,daily,batch_3
KW0108,feminist theory books,en,US,50,video,date,daily,batch_3
KW0109,intersectional feminism books,en,US,50,video,date,daily,batch_3
KW0110,comfort reads,en,US,50,video,date,daily,batch_1
KW0111,cozy books,en,US,50,video,date,daily,batch_1
KW0112,books that feel like a hug,en,US,50,video,date,daily,batch_1
KW0113,books for anxiety,en,US,50,video,date,daily,batch_3
KW0114,books for burnout,en,US,50,video,date,daily,batch_3
KW0115,healing fiction,en,US,50,video,date,daily,batch_3
KW0116,sad books,en,US,50,video,date,daily,batch_3
KW0117,devastating books,en,US,50,video,date,daily,batch_3
KW0118,heartbreaking books,en,US,50,video,date,daily,batch_3
KW0119,uplifting books,en,US,50,video,date,daily,batch_3
KW0120,hopeful books,en,US,50,video,date,daily,batch_3
KW0121,escapist books,en,US,50,video,date,daily,batch_3
KW0122,cottagecore books,en,US,50,video,date,daily,batch_3
KW0123,cottagecore reading,en,US,50,video,date,daily,batch_3
KW0124,dark academia books,en,US,50,video,date,daily,batch_3
KW0125,light academia books,en,US,50,video,date,daily,batch_3
KW0126,gothic books,en,US,50,video,date,daily,batch_3
KW0127,nature writing,en,US,50,video,date,daily,batch_3
KW0128,forest books,en,US,50,video,date,daily,batch_3
KW0129,solarpunk books,en,US,50,video,date,daily,batch_3
KW0130,hopepunk books,en,US,50,video,date,daily,batch_3
KW0131,enemies to lovers books,en,US,50,video,date,daily,batch_1
KW0132,found family books,en,US,50,video,date,daily,batch_1
KW0133,chosen one trope books,en,US,50,video,date,daily,batch_2
KW0134,morally grey character books,en,US,50,video,date,daily,batch_2
KW0135,slow burn romance books,en,US,50,video,date,daily,batch_1
KW0136,second chance romance books,en,US,50,video,date,daily,batch_2
KW0137,fake dating books,en,US,50,video,date,daily,batch_2
KW0138,grumpy sunshine romance,en,US,50,video,date,daily,batch_2
KW0139,touch her and die romance,en,US,50,video,date,daily,batch_2
KW0140,one bed trope books,en,US,50,video,date,daily,batch_2
KW0141,academy setting books,en,US,50,video,date,daily,batch_2
KW0142,booktok,en,US,50,video,date,daily,batch_1
KW0143,fantasy booktok,en,US,50,video,date,daily,batch_2
KW0144,romantasy booktok,en,US,50,video,date,daily,batch_2
KW0145,sci fi booktok,en,US,50,video,date,daily,batch_2
KW0146,booktube,en,US,50,video,date,daily,batch_1
KW0147,fantasy booktube,en,US,50,video,date,daily,batch_2
KW0148,reading vlog,en,US,50,video,date,daily,batch_1
KW0149,reading wrap up,en,US,50,video,date,daily,batch_1
KW0150,monthly reading wrap up,en,US,50,video,date,daily,batch_2
KW0151,reading journal,en,US,50,video,date,daily,batch_2
KW0152,reading tracker,en,US,50,video,date,daily,batch_2
KW0153,reading challenge,en,US,50,video,date,daily,batch_2
KW0154,52 books challenge,en,US,50,video,date,daily,batch_2
KW0155,book haul,en,US,50,video,date,daily,batch_2
KW0156,bookstore vlog,en,US,50,video,date,daily,batch_2
KW0157,used book haul,en,US,50,video,date,daily,batch_2
KW0158,bookshelf tour,en,US,50,video,date,daily,batch_2
KW0159,home library,en,US,50,video,date,daily,batch_2
KW0160,Hugo Awards,en,US,25,video,date,weekly,batch_4
KW0161,Nebula Awards,en,US,25,video,date,weekly,batch_4
KW0162,World Fantasy Award,en,US,25,video,date,weekly,batch_4
KW0163,Arthur C Clarke Award,en,US,25,video,date,weekly,batch_4
KW0164,Locus Awards,en,US,25,video,date,weekly,batch_4
KW0165,Brandon Sanderson,en,US,25,video,date,weekly,batch_4
KW0166,Sarah J. Maas,en,US,25,video,date,weekly,batch_4
KW0167,Rebecca Yarros,en,US,25,video,date,weekly,batch_4
KW0168,T. Kingfisher,en,US,25,video,date,weekly,batch_4
KW0169,Martha Wells,en,US,25,video,date,weekly,batch_4
KW0170,Becky Chambers,en,US,25,video,date,weekly,batch_4
KW0171,N. K. Jemisin,en,US,25,video,date,weekly,batch_4
KW0172,Ursula K. Le Guin,en,US,25,video,date,weekly,batch_4
KW0173,Octavia Butler,en,US,25,video,date,weekly,batch_4
KW0174,Emily Henry,en,US,25,video,date,weekly,batch_4
KW0175,Taylor Jenkins Reid,en,US,25,video,date,weekly,batch_4
KW0176,Colleen Hoover,en,US,25,video,date,weekly,batch_4
